timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773153731938,178,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1212,230,1,1,https://api.weatherbit.io/v2.0/current?city=Los+Angeles&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,177,0,0
1773153732937,182,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1198,225,1,1,https://api.weatherbit.io/v2.0/current?city=Sydney&country=AU&key=628bd42a721c4a57b7ffaade43851fae&units=M,182,0,0
1773153733934,178,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1215,225,1,1,https://api.weatherbit.io/v2.0/current?city=London&country=GB&key=628bd42a721c4a57b7ffaade43851fae&units=M,178,0,0
1773153734937,182,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1217,227,1,1,https://api.weatherbit.io/v2.0/current?city=New+York&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,182,0,0
1773153735936,180,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1185,224,1,1,https://api.weatherbit.io/v2.0/current?city=Tokyo&country=JP&key=628bd42a721c4a57b7ffaade43851fae&units=M,180,0,0
1773153736937,181,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1205,224,1,1,https://api.weatherbit.io/v2.0/current?city=Paris&country=FR&key=628bd42a721c4a57b7ffaade43851fae&units=M,181,0,0
1773153737938,177,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1194,224,1,1,https://api.weatherbit.io/v2.0/current?city=Dubai&country=AE&key=628bd42a721c4a57b7ffaade43851fae&units=M,176,0,0
1773153738937,181,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1196,228,1,1,https://api.weatherbit.io/v2.0/current?city=Singapore&country=SG&key=628bd42a721c4a57b7ffaade43851fae&units=M,181,0,0
1773153739937,180,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1208,230,1,1,https://api.weatherbit.io/v2.0/current?city=Los+Angeles&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,180,0,0
1773153841975,696,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1198,225,1,1,https://api.weatherbit.io/v2.0/current?city=Sydney&country=AU&key=628bd42a721c4a57b7ffaade43851fae&units=M,696,0,510
1773153842943,256,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1235,225,1,1,https://api.weatherbit.io/v2.0/current?city=London&country=GB&key=628bd42a721c4a57b7ffaade43851fae&units=M,256,0,0
1773153843943,181,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1217,227,1,1,https://api.weatherbit.io/v2.0/current?city=New+York&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,181,0,0
1773153844947,216,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1201,224,1,1,https://api.weatherbit.io/v2.0/current?city=Tokyo&country=JP&key=628bd42a721c4a57b7ffaade43851fae&units=M,216,0,0
1773153845947,215,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1225,224,1,1,https://api.weatherbit.io/v2.0/current?city=Paris&country=FR&key=628bd42a721c4a57b7ffaade43851fae&units=M,215,0,0
1773153846943,249,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1214,224,1,1,https://api.weatherbit.io/v2.0/current?city=Dubai&country=AE&key=628bd42a721c4a57b7ffaade43851fae&units=M,249,0,0
1773153847944,211,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1212,228,1,1,https://api.weatherbit.io/v2.0/current?city=Singapore&country=SG&key=628bd42a721c4a57b7ffaade43851fae&units=M,211,0,0
1773153848946,180,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1212,230,1,1,https://api.weatherbit.io/v2.0/current?city=Los+Angeles&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,180,0,0
1773153849942,180,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1194,225,1,1,https://api.weatherbit.io/v2.0/current?city=Sydney&country=AU&key=628bd42a721c4a57b7ffaade43851fae&units=M,180,0,0
1773153850946,183,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1219,225,1,1,https://api.weatherbit.io/v2.0/current?city=London&country=GB&key=628bd42a721c4a57b7ffaade43851fae&units=M,183,0,0
1773153851941,181,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1213,227,1,1,https://api.weatherbit.io/v2.0/current?city=New+York&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,181,0,0
1773153852946,180,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1197,224,1,1,https://api.weatherbit.io/v2.0/current?city=Tokyo&country=JP&key=628bd42a721c4a57b7ffaade43851fae&units=M,180,0,0
1773153853945,181,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1221,224,1,1,https://api.weatherbit.io/v2.0/current?city=Paris&country=FR&key=628bd42a721c4a57b7ffaade43851fae&units=M,180,0,0
1773153854946,181,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1210,224,1,1,https://api.weatherbit.io/v2.0/current?city=Dubai&country=AE&key=628bd42a721c4a57b7ffaade43851fae&units=M,180,0,0
